from,to,weight
B004D1GZ2E,B00005YW4H,1
B00005YW4H,B00018D44U,1
B0007NFL18,B000084T18,1
B0007NFL18,B00004T9UF,1
B0007NFL18,B000QUCPUC,1
B000084T18,B0007NFL18,1
B00004T9UF,B00006690G,1
B00006690F,B00004T9UF,1
B00006690F,B003KUSUG8,1
B00004XOWM,B00008H2LB,1
B000021YQV,B000BM6AVA,1
B00065XJ52,B00006690G,1
B000EMGAOY,B00000J7JO,1
B000EMGAOY,B000067CPX,1
B000EMGAOY,B000002LQR,1
B00065BYAY,B000IY04RW,1
B0000AGWFX,B0000013GT,1
B0000025RI,B0009XNUK0,1
B0000025RI,B0000DJE9R,1
B0000CD5FR,B000002GVS,1
B0000025BA,B003AO1SVS,1
B0000025BA,B0001XANAS,1
B00005ICAW,B000003TAW,1
B00008J4P5,B000OYC3J8,1
B000067CPX,B00000J7JO,1
B000067CPX,B000EMGAOY,1
B000067CPX,B000002LQR,1
B0006ZQ9BS,B000084T18,1
B0006ZQ9BS,B000J103X4,1
B0006ZQ9BS,B000023VR6,1
B0006ZQ9BS,B0007NFL18,1
B00000IAU3,B000089RVR,1
B00005QG9J,B000002OZS,1
B00000J7JO,B000EMGAOY,1
B00000J7JO,B000067CPX,1
B00000J7JO,B000002LQR,1
B00004UARR,B0002S94RK,1
B00018D44U,B00005YW4H,1
B00018D44U,B000KCHZK6,1
B0000CD5FR,B000002GVS,1
B00004YNGK,B00004S51Y,1
B00004YNGK,B000B66PDO,1
B00006RAKP,B000001DVP,1
B00006RAKP,B0000CD5FR,1
B0001XANAS,B00004YNGK,1
B0009XNUK0,B0000DJE9R,1
B00005YW4H,B00018D44U,1
B00004S51Y,B00004YNGK,1
B00004S51Y,B000B66PDO,1
B0000032XY,B00009N1ZV,1
B00003002C,B000G73U5Y,1
B00003002C,B00000IPAC,1
B000002GVS,B0000CD5FR,1
B0001AP0OU,B00004R7VU,1
B00009N1ZV,B0000032XY,1
B000002WPI,B0000039QA,1
B0000039QA,B000023VR6,1
B000003TAW,B00005ICAW,1
B000002OZS,B000002P22,1
B000002OZS,B0000028RR,1
B00000J7JO,B000EMGAOY,1
B00000J7JO,B000067CPX,1
B00000J7JO,B000002LQR,1
B000028U0Y,B00005Y1M2,1
B000028U0Y,B00006L7XQ,1
B00005Y1XY,B000002H1T,1
B000G73U5Y,B00003002C,1
B000G73U5Y,B00000IPAC,1
B0000DJE9R,B0009XNUK0,1
B000FBGBPC,B00009YXGH,1
B000FBGBPC,B00008H2LB,1
B000059MEL,B000000WCV,1
B000002LQR,B00000J7JO,1
B000002LQR,B000EMGAOY,1
B000002LQR,B000067CPX,1
