asin,price,salesRank,title
B004D1GZ2E,45.97,112806,21 Limited Edition
B0000AGWEC,6.88,39662,Measure of a Man
B000BGR18W,4.74,1837,Some Hearts
B000IY04RC,16.12,9147,Daughtry
B00006690F,9.49,62107,The Eminem Show [Limited Edition w/ Bonus DVD]
B00004XOWM,7.99,4632,Chocolate Starfish and the Hot Dog Flavored Water
B000021YQV,7.29,2545,Toxicity
B00065XJ52,13.79,2183,Encore (Deluxe Edition)
B00065BYAY,6.92,11134,Free Yourself
B0000AGWFX,25.61,3162,Speakerboxxx/ The Love Below
B00000016W,9.49,77205,Pet Sounds
B0000025RI,5,96959,Thriller
B0000025BA,5.12,17003,Tapestry
B00008J4P5,7.68,97145,Elephant
B0006ZQ9BS,7.49,8430,The Documentary
B00000IAU3,8.8,35239,No Angel
B000H0MKGK,6.73,66541,Continuum
B00005QG9J,11.99,42954,Morning View
B000AL730O,5.93,11047,Chaos and Creation in the Backyard
B00004UARR,10.97,5850,"Who Is Jill Scott? Words and Sounds, Vol. 1"
B00009V8Z9,9.77,152938,Chariot
B00006RAKP,13.88,179,Elton John - Greatest Hits 1970-2002
B000001DUP,7.99,219,20 All Time Greatest Hits!
B00000D9TQ,8.4,273,Hits
B000002KHQ,5,335,Seals &amp; Crofts: Greatest Hits
B000001DUK,7.39,337,A Decade of Hits 1969-1979
B00000FC5H,9.79,445,Earth Wind &amp; Fire: Greatest Hits
B000002NAA,4.99,448,"Best of Van Halen, Vol. 1"
B000002O2B,9.79,483,Songs You Know by Heart : Jimmy Buffett's Greatest Hit(s)
B000GG4XI8,4.99,588,Sly &amp; The Family Stone Greatest Hits
B00005MLVA,15.37,647,America - The Complete Greatest Hits
B0000029B0,4.99,663,Aerosmith's Greatest Hits
B000GG4XHY,4.99,669,BOZ SCAGGS HITS
B0000032ZU,4.99,696,The Very Best of Spinners
B0001AP0OU,16.19,779,Carpenters Gold (CD) [2 Discs]
B000002WPI,4.99,830,Enter the Wu-Tang: 36 Chambers
B000EHQ80A,6.99,855,Grand Funk Railroad - Greatest Hits
B000002LAC,4.99,887,Trio
B000001EYI,18.98,904,The Best That I Could Do 1978-1988
B000001E58,8.39,944,Barry White : All-Time Greatest Hits
B000028U0Y,9.99,1018,At Folsom Prison
B00005Y1XY,14.63,1020,Cars - Complete Greatest Hits
B000FBGBPC,7.95,1090,One X
B000002LFZ,9,1108,Fleetwood Mac: Greatest Hits
B000059MEL,19.94,1109,Discovery [Vinyl]
B000002GK1,6.66,1140,Badmotorfinger
B000BM6AVA,8.75,4139,Hypnotize
B0000013GT,7.98,8269,Atliens
B0002S94RK,7.49,5015,Beautifully Human: Words &amp; Sounds 2
B000000WCV,9.9,3932,Homework
B00006690G,7.43,1250,The Eminem Show
B0000028RR,7.21,2561,Rage Against the Machine
B003KUSUG8,27.04,671,Recovery
B000001DVP,7.08,3438,Elton John - Greatest Hits
B000002P22,11.07,2517,40 Oz to Freedom
B000002H1T,5,19487,Heartbeat City
B00009YXGH,6.88,1371,Three Days Grace
B00000IPAC,4.99,1428,Pretzel Logic
B00005Y1M2,11.88,1345,The Essential Johnny Cash
B00004R7VU,8.82,6803,Singles 1969-1981
B000089RVR,8.29,50858,Life for Rent
B00006L7XQ,10.87,1631,American IV: The Man Comes Around
B000J103X4,8.98,6200,Doctor's Advocate
B000B66PDO,18.37,6267,Gold
B000KCHZK6,8.5,2883,Not Too Late
B003AO1SVS,23.97,127,Brothers
B000IY04RW,9.99,67231,Fantasia
B000OYC3J8,17.96,745,Icky Thump
B000QUCPUC,29.52,84965,Curtis
